GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
0,None,0,None,0,0
1,0,0,None,1,0
1,None,0,0,2,0
2,1,1,None,2,1
2,None,1,1,3,2
3,0,1,None,4,2
3,None,1,0,5,2
4,1,2,None,5,3
4,None,2,1,6,4
5,0,2,None,7,4
5,None,2,0,8,4
6,1,3,None,8,5
6,None,3,1,9,6
7,0,3,None,10,6
7,None,3,0,11,6
8,0,3,None,12,6
8,None,3,0,13,6
9,0,3,None,14,6
9,None,3,0,15,6
10,1,4,None,15,7
10,None,4,1,16,8
11,1,5,None,16,9
11,None,5,1,17,10
12,1,6,None,17,11
12,None,6,1,18,12
13,0,6,None,19,12
13,None,6,0,20,12
14,0,6,None,21,12
14,None,6,0,22,12
15,0,6,None,23,12
15,None,6,0,24,12
16,1,7,None,24,13
16,None,7,1,25,14
17,1,8,None,25,15
17,None,8,1,26,16
18,1,9,None,26,17
18,None,9,1,27,18
19,0,9,None,28,18
19,None,9,0,29,18
20,0,9,None,30,18
20,None,9,0,31,18
21,0,9,None,32,18
21,None,9,0,33,18
22,1,10,None,33,19
22,None,10,1,34,20
23,1,11,None,34,21
23,None,11,1,35,22
24,1,12,None,35,23
24,None,12,1,36,24
25,0,12,None,37,24
25,None,12,0,38,24
26,0,12,None,39,24
26,None,12,0,40,24
27,0,12,None,41,24
27,None,12,0,42,24
28,0,12,None,43,24
28,None,12,0,44,24
29,1,13,None,44,25
29,None,13,1,45,26
30,0,13,None,46,26
30,None,13,0,47,26
31,1,14,None,47,27
31,None,14,1,48,28
32,1,15,None,48,29
32,None,15,1,49,30
33,1,16,None,49,31
33,None,16,1,50,32
34,0,16,None,51,32
34,None,16,0,52,32
35,0,16,None,53,32
35,None,16,0,54,32
36,0,16,None,55,32
36,None,16,0,56,32
37,1,17,None,56,33
37,None,17,1,57,34
38,1,18,None,57,35
38,None,18,1,58,36
39,0,18,None,59,36
39,None,18,0,60,36
40,0,18,None,61,36
40,None,18,0,62,36
41,1,19,None,62,37
41,None,19,1,63,38
42,0,19,None,64,38
42,None,19,0,65,38
43,0,19,None,66,38
43,None,19,0,67,38
44,0,19,None,68,38
44,None,19,0,69,38
45,0,19,None,70,38
45,None,19,0,71,38
46,1,20,None,71,39
46,None,20,1,72,40
47,1,21,None,72,41
47,None,21,1,73,42
48,1,22,None,73,43
48,None,22,1,74,44
49,0,22,None,75,44
49,None,22,0,76,44
50,1,23,None,76,45
50,None,23,1,77,46
51,1,24,None,77,47
51,None,24,1,78,48
52,0,24,None,79,48
52,None,24,0,80,48
53,0,24,None,81,48
53,None,24,0,82,48
54,1,25,None,82,49
54,None,25,1,83,50
55,0,25,None,84,50
55,None,25,0,85,50
56,0,25,None,86,50
56,None,25,0,87,50
57,1,26,None,87,51
57,None,26,1,88,52
58,0,26,None,89,52
58,None,26,0,90,52
59,1,27,None,90,53
59,None,27,1,91,54
