GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
0,None,0,None,0,0
1,0,0,None,1,0
1,None,0,0,2,0
2,1,1,None,2,1
2,None,1,1,3,2
3,1,2,None,3,3
3,None,2,1,4,4
4,1,3,None,4,5
4,None,3,1,5,6
5,1,4,None,5,7
5,None,4,1,6,8
6,1,5,None,6,9
6,None,5,1,7,10
7,0,5,None,8,10
7,None,5,0,9,10
8,0,5,None,10,10
8,None,5,0,11,10
9,0,5,None,12,10
9,None,5,0,13,10
10,1,6,None,13,11
10,None,6,1,14,12
11,0,6,None,15,12
11,None,6,0,16,12
12,1,7,None,16,13
12,None,7,1,17,14
13,0,7,None,18,14
13,None,7,0,19,14
14,0,7,None,20,14
14,None,7,0,21,14
15,0,7,None,22,14
15,None,7,0,23,14
16,1,8,None,23,15
16,None,8,1,24,16
17,1,9,None,24,17
17,None,9,1,25,18
18,1,10,None,25,19
18,None,10,1,26,20
19,1,11,None,26,21
19,None,11,1,27,22
20,1,12,None,27,23
20,None,12,1,28,24
21,0,12,None,29,24
21,None,12,0,30,24
22,0,12,None,31,24
22,None,12,0,32,24
23,0,12,None,33,24
23,None,12,0,34,24
24,0,12,None,35,24
24,None,12,0,36,24
25,0,12,None,37,24
25,None,12,0,38,24
26,0,12,None,39,24
26,None,12,0,40,24
27,1,13,None,40,25
27,None,13,1,41,26
28,1,14,None,41,27
28,None,14,1,42,28
29,1,15,None,42,29
29,None,15,1,43,30
30,1,16,None,43,31
30,None,16,1,44,32
31,1,17,None,44,33
31,None,17,1,45,34
32,0,17,None,46,34
32,None,17,0,47,34
33,1,18,None,47,35
33,None,18,1,48,36
34,0,18,None,49,36
34,None,18,0,50,36
35,0,18,None,51,36
35,None,18,0,52,36
36,1,19,None,52,37
36,None,19,1,53,38
37,1,20,None,53,39
37,None,20,1,54,40
38,1,21,None,54,41
38,None,21,1,55,42
39,1,22,None,55,43
39,None,22,1,56,44
40,0,22,None,57,44
40,None,22,0,58,44
41,1,23,None,58,45
41,None,23,1,59,46
42,0,23,None,60,46
42,None,23,0,61,46
43,0,23,None,62,46
43,None,23,0,63,46
44,0,23,None,64,46
44,None,23,0,65,46
45,1,24,None,65,47
45,None,24,1,66,48
46,0,24,None,67,48
46,None,24,0,68,48
47,0,24,None,69,48
47,None,24,0,70,48
48,1,25,None,70,49
48,None,25,1,71,50
49,0,25,None,72,50
49,None,25,0,73,50
50,0,25,None,74,50
50,None,25,0,75,50
51,0,25,None,76,50
51,None,25,0,77,50
52,0,25,None,78,50
52,None,25,0,79,50
53,0,25,None,80,50
53,None,25,0,81,50
54,1,26,None,81,51
54,None,26,1,82,52
55,1,27,None,82,53
55,None,27,1,83,54
56,0,27,None,84,54
56,None,27,0,85,54
57,0,27,None,86,54
57,None,27,0,87,54
58,0,27,None,88,54
58,None,27,0,89,54
59,0,27,None,90,54
59,None,27,0,91,54
