code_1,code_2,name
sz.000001,000001.SZ,平安银行
sz.000002,000002.SZ,万科A
sz.000004,000004.SZ,*ST国华
sz.000005,000005.SZ,ST星源
sz.000006,000006.SZ,深振业A
sz.000007,000007.SZ,全新好
sz.000008,000008.SZ,神州高铁
sz.000009,000009.SZ,中国宝安
sz.000010,000010.SZ,美丽生态
sz.000011,000011.SZ,深物业A
sz.000012,000012.SZ,南玻A
sz.000014,000014.SZ,沙河股份
sz.000016,000016.SZ,深康佳A
sz.000017,000017.SZ,深中华A
sz.000019,000019.SZ,深粮控股
sz.000020,000020.SZ,深华发A
sz.000021,000021.SZ,深科技
sz.000023,000023.SZ,*ST深天
sz.000025,000025.SZ,特力A
sz.000026,000026.SZ,飞亚达
sz.000027,000027.SZ,深圳能源
sz.000028,000028.SZ,国药一致
sz.000029,000029.SZ,深深房A
sz.000030,000030.SZ,富奥股份
sz.000031,000031.SZ,大悦城
sz.000032,000032.SZ,深桑达A
sz.000034,000034.SZ,神州数码
sz.000035,000035.SZ,中国天楹
sz.000036,000036.SZ,华联控股
sz.000037,000037.SZ,深南电A
sz.000039,000039.SZ,中集集团
sz.000040,000040.SZ,*ST旭蓝
sz.000042,000042.SZ,中洲控股
sz.000045,000045.SZ,深纺织A
sz.000048,000048.SZ,京基智农
sz.000049,000049.SZ,德赛电池
sz.000050,000050.SZ,深天马A
sz.000055,000055.SZ,方大集团
sz.000056,000056.SZ,皇庭国际
sz.000058,000058.SZ,深赛格
sz.000059,000059.SZ,华锦股份
sz.000060,000060.SZ,中金岭南
sz.000061,000061.SZ,农产品
sz.000062,000062.SZ,深圳华强
sz.000063,000063.SZ,中兴通讯
sz.000065,000065.SZ,北方国际
sz.000066,000066.SZ,中国长城
sz.000068,000068.SZ,华控赛格
sz.000069,000069.SZ,华侨城A
sz.000070,000070.SZ,ST特信
sz.000078,000078.SZ,海王生物
sz.000088,000088.SZ,盐田港
sz.000089,000089.SZ,深圳机场
sz.000090,000090.SZ,天健集团
sz.000096,000096.SZ,广聚能源
sz.000099,000099.SZ,中信海直
sz.000100,000100.SZ,TCL科技
sz.000151,000151.SZ,中成股份
sz.000153,000153.SZ,丰原药业
sz.000155,000155.SZ,川能动力
sz.000156,000156.SZ,华数传媒
sz.000157,000157.SZ,中联重科
sz.000158,000158.SZ,常山北明
sz.000159,000159.SZ,国际实业
sz.000166,000166.SZ,申万宏源
sz.000301,000301.SZ,东方盛虹
sz.000333,000333.SZ,美的集团
sz.000338,000338.SZ,潍柴动力
sz.000400,000400.SZ,许继电气
sz.000401,000401.SZ,冀东水泥
sz.000402,000402.SZ,金融街
sz.000403,000403.SZ,派林生物
