股票名称代码,股票名称代码,股票名称代码,股票名称代码,股票名称代码,股票名称代码
1,2,4,5,6,7
平安银行,万科A,*ST国华,ST星源,深振业A,全新好
8,9,10,11,12,14
神州高铁,中国宝安,美丽生态,深物业A,南玻A,沙河股份
16,17,19,20,21,23
深康佳A,深中华A,深粮控股,深华发A,深科技,*ST深天
25,26,27,28,29,30
特力A,飞亚达,深圳能源,国药一致,深深房A,富奥股份
31,32,34,35,36,37
大悦城,深桑达A,神州数码,中国天楹,华联控股,深南电A
39,40,42,45,48,49
中集集团,*ST旭蓝,中洲控股,深纺织A,京基智农,德赛电池
50,55,56,58,59,60
深天马A,方大集团,皇庭国际,深赛格,华锦股份,中金岭南
61,62,63,65,66,68
农产品,深圳华强,中兴通讯,北方国际,中国长城,华控赛格
69,70,78,88,89,90
华侨城A,ST特信,海王生物,盐田港,深圳机场,天健集团
96,99,100,151,153,155
广聚能源,中信海直,TCL科技,中成股份,丰原药业,川能动力
156,157,158,159,166,301
华数传媒,中联重科,常山北明,国际实业,申万宏源,东方盛虹
333,338,400,401,402,403
美的集团,潍柴动力,许继电气,冀东水泥,金融街,派林生物
404,407,408,409,410,411
长虹华意,胜利股份,藏格矿业,云鼎科技,沈阳机床,英特集团
413,415,416,417,419,420
ST旭电,渤海租赁,*ST民控,合百集团,通程控股,吉林化纤
421,422,423,425,426,428
南京公用,湖北宜化,东阿阿胶,徐工机械,兴业银锡,华天酒店
429,430,488,498,501,503
粤高速A,ST张家界,ST晨鸣,山东路桥,武商集团,国新健康
504,505,506,507,509,510
*ST生物,京粮控股,*ST中润,珠海港,华塑控股,新金路
513,514,516,517,518,519
丽珠集团,渝开发,国际医学,荣安地产,*ST四环,中兵红箭
520,521,523,524,525,526
凤凰航运,长虹美菱,红棉股份,岭南控股,ST红太阳,学大教育
528,529,530,531,532,533
柳工,广弘控股,冰山冷热,穗恒运A,华金资本,顺钠股份
534,536,537,538,539,541
万泽股份,华映科技,中绿电,云南白药,粤电力A,佛山照明
543,544,545,546,547,548
皖能电力,中原环保,金浦钛业,金圆股份,航天发展,湖南投资
550,551,552,553,554,555
江铃汽车,创元科技,甘肃能化,安道麦A,泰山石油,神州信息
557,558,559,560,561,563
西部创业,天府文旅,万向钱潮,我爱我家,烽火电子,陕国投A
564,565,566,567,568,570
供销大集,渝三峡A,海南海药,海德股份,泸州老窖,苏常柴A
571,572,573,576,581,582
新大洲A,海马汽车,粤宏远A,甘化科工,威孚高科,北部湾港
584,586,589,590,591,592
*ST工智,汇源通信,贵州轮胎,启迪药业,太阳能,平潭发展
593,595,596,597,598,599
德龙汇能,*ST宝实,古井贡酒,东北制药,兴蓉环境,青岛双星
600,601,603,605,607,608
建投能源,韶能股份,盛达资源,渤海股份,华媒控股,*ST阳光
609,610,612,615,617,619
*ST中迪,西安旅游,焦作万方,*ST美谷,中油资本,海螺新材
620,622,623,625,626,627
新华联,*ST恒立,吉林敖东,长安汽车,远大控股,天茂集团
628,629,630,631,632,633
高新发展,钒钛股份,铜陵有色,顺发恒业,三木集团,合金投资
635,636,637,638,639,650
英力特,风华高科,茂化实华,*ST万方,西王食品,仁和药业
651,652,655,656,657,659
格力电器,泰达股份,金岭矿业,*ST金科,中钨高新,珠海中富
661,663,665,668,669,670
长春高新,永安林业,湖北广电,*ST荣控,ST金鸿,盈方微
672,676,677,678,679,680
上峰水泥,智度股份,恒天海龙,襄阳轴承,大连友谊,山推股份
681,682,683,685,686,688
视觉中国,东方电子,博源化工,中山公用,东北证券,国城矿业
690,691,692,695,697,698
宝新能源,*ST亚太,惠天热电,滨海能源,ST炼石,沈阳化工
700,701,702,703,705,707
模塑科技,厦门信达,正虹科技,恒逸石化,浙江震元,双环科技
708,709,710,711,712,713
中信特钢,河钢股份,贝瑞基因,*ST京蓝,锦龙股份,丰乐种业
715,716,717,718,719,720
中兴商业,黑芝麻,中南股份,苏宁环球,中原传媒,新能泰山
721,722,723,725,726,727
西安饮食,湖南发展,美锦能源,京东方A,鲁泰A,冠捷科技
728,729,731,733,735,736
国元证券,燕京啤酒,四川美丰,振华科技,罗牛山,*ST中地
737,738,739,750,751,752
北方铜业,航发控制,普洛药业,国海证券,锌业股份,ST西发
753,755,756,757,758,759
漳州发展,山西高速,新华制药,浩物股份,中色股份,中百集团
761,762,766,767,768,776
本钢板材,西藏矿业,通化金马,晋控电力,中航西飞,广发证券
