date,code,open,high,low,close,volume,amount,turn,pctChg,Open,High,Low,Close,RowIndex
2010-01-04,sh.000001,3289.75,3295.279,3243.319,3243.76,10944792700,133773495628.0,0.009476,-1.018538,3289.75,3295.279,3243.319,3243.76,0
2010-01-05,sh.000001,3254.468,3290.512,3221.462,3282.179,12611506600,161858172981.0,0.010918,1.184395,3254.468,3290.512,3221.462,3282.179,1
2010-01-06,sh.000001,3277.517,3295.868,3253.044,3254.215,12365138400,158040114734.0,0.010705,-0.851991,3277.517,3295.868,3253.044,3254.215,2
2010-01-07,sh.000001,3253.991,3268.819,3176.707,3192.776,12865282700,157229581955.0,0.011138,-1.887988,3253.991,3268.819,3176.707,3192.776,3
2010-01-08,sh.000001,3177.259,3198.92,3149.017,3195.997,9837714700,121739882073.0,0.008516,0.10089,3177.259,3198.92,3149.017,3195.997,4
2010-01-11,sh.000001,3301.611,3306.751,3197.328,3212.75,13632721600,177557637092.0,0.011601,0.524185,3301.611,3306.751,3197.328,3212.75,5
2010-01-12,sh.000001,3205.705,3275.202,3180.085,3273.966,14065524100,173949587793.0,0.011969,1.90541,3205.705,3275.202,3180.085,3273.966,6
2010-01-13,sh.000001,3204.976,3232.818,3165.485,3172.658,15834427800,197329891936.0,0.013455,-3.094354,3204.976,3232.818,3165.485,3172.658,7
2010-01-14,sh.000001,3183.381,3219.016,3165.596,3215.55,13595450400,168004201473.0,0.011552,1.351929,3183.381,3219.016,3165.596,3215.55,8
2010-01-15,sh.000001,3217.19,3241.815,3197.221,3224.152,12054113500,151441932665.0,0.010239,0.267514,3217.19,3241.815,3197.221,3224.152,9
2010-01-18,sh.000001,3213.637,3238.242,3202.207,3237.098,13506723800,169760710359.0,0.011472,0.401526,3213.637,3238.242,3202.207,3237.098,10
2010-01-19,sh.000001,3242.216,3268.806,3236.839,3246.874,12994353200,162672571503.0,0.011036,0.302003,3242.216,3268.806,3236.839,3246.874,11
2010-01-20,sh.000001,3252.037,3255.128,3148.334,3151.85,15824311200,192661666820.0,0.013438,-2.926628,3252.037,3255.128,3148.334,3151.85,12
2010-01-21,sh.000001,3154.189,3176.147,3126.902,3158.863,11433707900,142103163041.0,0.009701,0.222502,3154.189,3176.147,3126.902,3158.863,13
2010-01-22,sh.000001,3118.724,3147.829,3062.629,3128.588,13775853800,163570680340.0,0.011688,-0.958419,3118.724,3147.829,3062.629,3128.588,14
2010-01-25,sh.000001,3103.32,3136.999,3092.926,3094.411,7836186200,95145982251.0,0.006651,-1.09241,3103.32,3136.999,3092.926,3094.411,15
2010-01-26,sh.000001,3094.848,3107.198,3001.956,3019.394,9350709200,109256964463.0,0.007933,-2.424269,3094.848,3107.198,3001.956,3019.394,16
2010-01-27,sh.000001,3020.54,3028.647,2972.627,2986.607,7655221400,90324580784.0,0.006494,-1.085884,3020.54,3028.647,2972.627,2986.607,17
2010-01-28,sh.000001,2985.214,3006.039,2963.891,2994.143,7336576700,85654271669.0,0.006223,0.252331,2985.214,3006.039,2963.891,2994.143,18
