stock_name,symbol,start_date,end_date,baostock_available,comment,
股票名称,股票代码,起始日期,截止日期,baostock数据可用？,备注,后缀上海=SS，深圳=SZ
,000001.SZ,2010/1/1,2025/5/30,,,
,000002.SZ,2010/1/1,2025/5/30,,,
,000004.SZ,2010/1/1,2025/5/30,,,
,000005.SZ,2010/1/1,2025/5/30,,,
,000006.SZ,2010/1/1,2025/5/30,,,
,000007.SZ,2010/1/1,2025/5/30,,,
,000008.SZ,2010/1/1,2025/5/30,,,
,000009.SZ,2010/1/1,2025/5/30,,,
,000010.SZ,2010/1/1,2025/5/30,,,
,000011.SZ,2010/1/1,2025/5/30,,,
,000012.SZ,2010/1/1,2025/5/30,,,
,000014.SZ,2010/1/1,2025/5/30,,,
,000016.SZ,2010/1/1,2025/5/30,,,
,000017.SZ,2010/1/1,2025/5/30,,,
,000019.SZ,2010/1/1,2025/5/30,,,
,000020.SZ,2010/1/1,2025/5/30,,,
,000021.SZ,2010/1/1,2025/5/30,,,
,000023.SZ,2010/1/1,2025/5/30,,,
,000025.SZ,2010/1/1,2025/5/30,,,
,000026.SZ,2010/1/1,2025/5/30,,,
,000027.SZ,2010/1/1,2025/5/30,,,
,000028.SZ,2010/1/1,2025/5/30,,,
,000029.SZ,2010/1/1,2025/5/30,,,
,000030.SZ,2010/1/1,2025/5/30,,,
,000031.SZ,2010/1/1,2025/5/30,,,
,000032.SZ,2010/1/1,2025/5/30,,,
,000034.SZ,2010/1/1,2025/5/30,,,
,000035.SZ,2010/1/1,2025/5/30,,,
,000036.SZ,2010/1/1,2025/5/30,,,
,000037.SZ,2010/1/1,2025/5/30,,,
,000039.SZ,2010/1/1,2025/5/30,,,
,000040.SZ,2010/1/1,2025/5/30,,,
,000042.SZ,2010/1/1,2025/5/30,,,
,000045.SZ,2010/1/1,2025/5/30,,,
,000048.SZ,2010/1/1,2025/5/30,,,
,000049.SZ,2010/1/1,2025/5/30,,,
,000050.SZ,2010/1/1,2025/5/30,,,
,000055.SZ,2010/1/1,2025/5/30,,,
,000056.SZ,2010/1/1,2025/5/30,,,
,000058.SZ,2010/1/1,2025/5/30,,,
,000059.SZ,2010/1/1,2025/5/30,,,
,000060.SZ,2010/1/1,2025/5/30,,,
,000061.SZ,2010/1/1,2025/5/30,,,
,000062.SZ,2010/1/1,2025/5/30,,,
,000063.SZ,2010/1/1,2025/5/30,,,
,000065.SZ,2010/1/1,2025/5/30,,,
,000066.SZ,2010/1/1,2025/5/30,,,
,000068.SZ,2010/1/1,2025/5/30,,,
,000069.SZ,2010/1/1,2025/5/30,,,
,000070.SZ,2010/1/1,2025/5/30,,,
,000078.SZ,2010/1/1,2025/5/30,,,
,000088.SZ,2010/1/1,2025/5/30,,,
,000089.SZ,2010/1/1,2025/5/30,,,
,000090.SZ,2010/1/1,2025/5/30,,,
,000096.SZ,2010/1/1,2025/5/30,,,
,000099.SZ,2010/1/1,2025/5/30,,,
,000100.SZ,2010/1/1,2025/5/30,,,
,000151.SZ,2010/1/1,2025/5/30,,,
,000153.SZ,2010/1/1,2025/5/30,,,
,000155.SZ,2010/1/1,2025/5/30,,,
,000156.SZ,2010/1/1,2025/5/30,,,
,000157.SZ,2010/1/1,2025/5/30,,,
,000158.SZ,2010/1/1,2025/5/30,,,
,000159.SZ,2010/1/1,2025/5/30,,,
,000166.SZ,2010/1/1,2025/5/30,,,
,000301.SZ,2010/1/1,2025/5/30,,,
,000333.SZ,2010/1/1,2025/5/30,,,
,000338.SZ,2010/1/1,2025/5/30,,,
,000400.SZ,2010/1/1,2025/5/30,,,
,000401.SZ,2010/1/1,2025/5/30,,,
,000402.SZ,2010/1/1,2025/5/30,,,
,000403.SZ,2010/1/1,2025/5/30,,,
,000404.SZ,2010/1/1,2025/5/30,,,
,000407.SZ,2010/1/1,2025/5/30,,,
,000408.SZ,2010/1/1,2025/5/30,,,
,000409.SZ,2010/1/1,2025/5/30,,,
,000410.SZ,2010/1/1,2025/5/30,,,
,000411.SZ,2010/1/1,2025/5/30,,,
,000413.SZ,2010/1/1,2025/5/30,,,
,000415.SZ,2010/1/1,2025/5/30,,,
,000416.SZ,2010/1/1,2025/5/30,,,
,000417.SZ,2010/1/1,2025/5/30,,,
,000419.SZ,2010/1/1,2025/5/30,,,
,000420.SZ,2010/1/1,2025/5/30,,,
,000421.SZ,2010/1/1,2025/5/30,,,
,000422.SZ,2010/1/1,2025/5/30,,,
,000423.SZ,2010/1/1,2025/5/30,,,
,000425.SZ,2010/1/1,2025/5/30,,,
,000426.SZ,2010/1/1,2025/5/30,,,
,000428.SZ,2010/1/1,2025/5/30,,,
,000429.SZ,2010/1/1,2025/5/30,,,
,000430.SZ,2010/1/1,2025/5/30,,,
,000488.SZ,2010/1/1,2025/5/30,,,
,000498.SZ,2010/1/1,2025/5/30,,,
,000501.SZ,2010/1/1,2025/5/30,,,
,000503.SZ,2010/1/1,2025/5/30,,,
,000504.SZ,2010/1/1,2025/5/30,,,
,000505.SZ,2010/1/1,2025/5/30,,,
,000506.SZ,2010/1/1,2025/5/30,,,
,000507.SZ,2010/1/1,2025/5/30,,,
,000509.SZ,2010/1/1,2025/5/30,,,
,000510.SZ,2010/1/1,2025/5/30,,,
,000513.SZ,2010/1/1,2025/5/30,,,
,000514.SZ,2010/1/1,2025/5/30,,,
,000516.SZ,2010/1/1,2025/5/30,,,
,000517.SZ,2010/1/1,2025/5/30,,,
,000518.SZ,2010/1/1,2025/5/30,,,
,000519.SZ,2010/1/1,2025/5/30,,,
,000520.SZ,2010/1/1,2025/5/30,,,
,000521.SZ,2010/1/1,2025/5/30,,,
,000523.SZ,2010/1/1,2025/5/30,,,
,000524.SZ,2010/1/1,2025/5/30,,,
,000525.SZ,2010/1/1,2025/5/30,,,
,000526.SZ,2010/1/1,2025/5/30,,,
,000528.SZ,2010/1/1,2025/5/30,,,
,000529.SZ,2010/1/1,2025/5/30,,,
,000530.SZ,2010/1/1,2025/5/30,,,
,000531.SZ,2010/1/1,2025/5/30,,,
,000532.SZ,2010/1/1,2025/5/30,,,
,000533.SZ,2010/1/1,2025/5/30,,,
,000534.SZ,2010/1/1,2025/5/30,,,
,000536.SZ,2010/1/1,2025/5/30,,,
,000537.SZ,2010/1/1,2025/5/30,,,
,000538.SZ,2010/1/1,2025/5/30,,,
,000539.SZ,2010/1/1,2025/5/30,,,
,000541.SZ,2010/1/1,2025/5/30,,,
,000543.SZ,2010/1/1,2025/5/30,,,
,000544.SZ,2010/1/1,2025/5/30,,,
,000545.SZ,2010/1/1,2025/5/30,,,
,000546.SZ,2010/1/1,2025/5/30,,,
,000547.SZ,2010/1/1,2025/5/30,,,
,000548.SZ,2010/1/1,2025/5/30,,,
,000550.SZ,2010/1/1,2025/5/30,,,
,000551.SZ,2010/1/1,2025/5/30,,,
,000552.SZ,2010/1/1,2025/5/30,,,
,000553.SZ,2010/1/1,2025/5/30,,,
,000554.SZ,2010/1/1,2025/5/30,,,
,000555.SZ,2010/1/1,2025/5/30,,,
,000557.SZ,2010/1/1,2025/5/30,,,
,000558.SZ,2010/1/1,2025/5/30,,,
,000559.SZ,2010/1/1,2025/5/30,,,
,000560.SZ,2010/1/1,2025/5/30,,,
,000561.SZ,2010/1/1,2025/5/30,,,
,000563.SZ,2010/1/1,2025/5/30,,,
,000564.SZ,2010/1/1,2025/5/30,,,
,000565.SZ,2010/1/1,2025/5/30,,,
,000566.SZ,2010/1/1,2025/5/30,,,
,000567.SZ,2010/1/1,2025/5/30,,,
,000568.SZ,2010/1/1,2025/5/30,,,
,000570.SZ,2010/1/1,2025/5/30,,,
,000571.SZ,2010/1/1,2025/5/30,,,
,000572.SZ,2010/1/1,2025/5/30,,,
,000573.SZ,2010/1/1,2025/5/30,,,
,000576.SZ,2010/1/1,2025/5/30,,,
,000581.SZ,2010/1/1,2025/5/30,,,
,000582.SZ,2010/1/1,2025/5/30,,,
,000584.SZ,2010/1/1,2025/5/30,,,
,000586.SZ,2010/1/1,2025/5/30,,,
,000589.SZ,2010/1/1,2025/5/30,,,
,000590.SZ,2010/1/1,2025/5/30,,,
,000591.SZ,2010/1/1,2025/5/30,,,
,000592.SZ,2010/1/1,2025/5/30,,,
,000593.SZ,2010/1/1,2025/5/30,,,
,000595.SZ,2010/1/1,2025/5/30,,,
,000596.SZ,2010/1/1,2025/5/30,,,
,000597.SZ,2010/1/1,2025/5/30,,,
,000598.SZ,2010/1/1,2025/5/30,,,
,000599.SZ,2010/1/1,2025/5/30,,,
,000600.SZ,2010/1/1,2025/5/30,,,
,000601.SZ,2010/1/1,2025/5/30,,,
,000603.SZ,2010/1/1,2025/5/30,,,
,000605.SZ,2010/1/1,2025/5/30,,,
