stock_name,symbol,start_date,end_date,baostock_available,comment,
股票名称,股票代码,起始日期,截止日期,baostock数据可用？,备注,后缀上海=SS，深圳=SZ
沪深300指数,000300.SS,2014/1/1,2025/4/30,,,
沪深300ETF,159919.SZ,2014/1/1,2025/4/30,N,ETF无数据,
中证500,000905.SS,2014/1/1,2025/4/30,,,
上证50,000016.SS,2014/1/1,2025/4/30,,,
创业板指,399006.SZ,2014/1/1,2025/4/30,,,
科创50,000688.SS,2020/1/1,2025/4/30,N,2019.12.31上市,
中证1000,000852.SS,2014/1/1,2025/4/30,,,
全指医药,000991.SS,2014/1/1,2025/4/30,,,
中证军工,399967.SZ,2014/1/1,2025/4/30,,,
中证传媒,399971.SZ,2014/1/1,2025/4/30,N,,
基建工程,399995.SZ,2014/1/1,2025/4/30,N,,
家用电器,930697.SZ,2014/1/1,2025/4/30,N,,
国新港股通央企红利,931722.SZ,2014/1/1,2025/4/30,N,,
央企股东回报,932039.SZ,2014/1/1,2025/4/30,N,,
中国互联网30,930604.SZ,2014/1/1,2025/4/30,N,,
CS创新药,931152.SZ,2014/1/1,2025/4/30,N,,
国证芯片,980017.SZ,2014/1/1,2025/4/30,N,,
