symbol_1,symbol_2,start_date,end_date,T_Days,Final_Return,Annual_Return
sh.000300,sz.399673,2015-1-1,2015-12-31,244,2.0353,2.0294
sh.000300,sz.399673,2016-1-1,2016-12-31,244,0.8026,0.8034
sh.000300,sz.399673,2017-1-1,2017-12-31,244,1.0668,1.0665
sh.000300,sz.399673,2018-1-1,2018-12-31,243,0.9281,0.9281
sh.000300,sz.399673,2019-1-1,2019-12-31,244,1.5184,1.5158
sh.000300,sz.399673,2020-1-1,2020-12-31,243,1.7083,1.7083
sh.000300,sz.399673,2021-1-1,2021-12-31,243,1.1411,1.1411
sh.000300,sz.399673,2022-1-1,2022-12-31,242,1.0342,1.0343
sh.000300,sz.399673,2023-1-1,2023-12-31,242,0.8897,0.8893
sh.000300,sz.399673,2024-1-1,2024-12-31,242,1.3359,1.3375
